#separator:tab
#html:true
#columns:Front	Back	Tags
【第102回 問1】物理・分析の基礎・バリデーション<br><br>次の関係式のうち、正しいのはどれか。1つ選べ。<br><br>1. 1kHz ＝ 1× 10□Hz<br>2. 1nm ＝ 1× 10□□m<br>3. 1ppm ＝ 1× 10□□％<br>4. 1μg ＝ 1× 10□□g<br>5. 1w/v％ ＝ 1× 10□g/L	<b>正答：2</b><br>1nm ＝ 1× 10□□m<br><br>テーマ：分析の基礎・バリデーション（10年10問・6/10回）	薬剤師国家試験 必須問題 科目::物理 テーマ::分析の基礎_バリデーション 第102回
【第102回 問56】病態・薬物治療・がん　📐図・構造式<br><br>乳がんの腫瘍マーカーとして有用なのはどれか。1つ選べ。<br><br>1. CA 15-3（carbohydrate antigen 15-3）<br>2. CYFRA 21-1（cytokeratin 19 fragment）<br>3. NSE（neuron specific enolase）<br>4. SCC（squamous cell carcinoma related antigen）<br>5. PIVKA- （protein induced by vitamin K absence or antagonist- ）	<b>正答：1</b><br>CA 15-3（carbohydrate antigen 15-3）<br><br>テーマ：がん（10年13問・9/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::がん 第102回 flag::図
【第102回 問57】病態・薬物治療・循環器疾患<br><br>閉塞性動脈硬化症に関する記述のうち、正しいのはどれか。1つ選べ。<br><br>1. 若い女性に好発する。<br>2. 間欠性跛行が特徴的症状である。<br>3. 上肢の動脈に多発する。<br>4. 血管炎を伴う。<br>5. 患肢に熱感がある。	<b>正答：2</b><br>間欠性跛行が特徴的症状である。<br><br>テーマ：循環器疾患（10年14問・6/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::循環器疾患 第102回
【第102回 問58】病態・薬物治療・免疫・膠原病・血液疾患<br><br>汎血球減少症を呈する代表的な疾患はどれか。1つ選べ。<br><br>1. 溶血性貧血<br>2. 鉄欠乏性貧血<br>3. 腎性貧血<br>4. 再生不良性貧血<br>5. 播種性血管内凝固症候群	<b>正答：4</b><br>再生不良性貧血<br><br>テーマ：免疫・膠原病・血液疾患（10年8問・8/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::免疫_膠原病_血液疾患 第102回
【第102回 問59】病態・薬物治療・代謝・内分泌疾患<br><br>インスリン分泌を促進し、食後高血糖を改善する薬物はどれか。1つ選べ。<br><br>1. メトホルミン塩酸塩<br>2. ピオグリタゾン塩酸塩<br>3. ナテグリニド<br>4. ボグリボース<br>5. イプラグリフロジン L-プロリン □ 21□	<b>正答：3</b><br>ナテグリニド<br><br>テーマ：代謝・内分泌疾患（10年15問・7/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::代謝_内分泌疾患 第102回
【第102回 問60】病態・薬物治療・循環器疾患<br><br>パーキンソン病患者に特徴的な症状はどれか。1つ選べ。<br><br>1. 躁状態<br>2. 下痢<br>3. 高血圧<br>4. 上肢の筋弛緩<br>5. すくみ足	<b>正答：5</b><br>すくみ足<br><br>テーマ：循環器疾患（10年14問・6/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::循環器疾患 第102回
【第102回 問61】病態・薬物治療・精神・神経疾患<br><br>状況にかかわりなく漫然とした不安が持続する神経症はどれか。1つ選べ。<br><br>1. 広場恐怖<br>2. 強迫性障害<br>3. 外傷後ストレス障害（PTSD)<br>4. 全般性不安障害<br>5. 社会不安障害	<b>正答：4</b><br>全般性不安障害<br><br>テーマ：精神・神経疾患（10年16問・8/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::精神_神経疾患 第102回
【第102回 問62】病態・薬物治療・呼吸器・アレルギー疾患<br><br>アトピー性皮膚炎に関する記述のうち、最も適切なのはどれか。1つ選べ。<br><br>1. 皮膚のバリア機能が亢進している。<br>2. 対症療法が治療の中心となる。<br>3. 湿疹は左右非対称にみられる。<br>4. おもに型アレルギーが関与している。<br>5. 抗ヒスタミン薬が第１選択薬である。	<b>正答：2</b><br>対症療法が治療の中心となる。<br><br>テーマ：呼吸器・アレルギー疾患（10年12問・7/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::呼吸器_アレルギー疾患 第102回
【第102回 問63】病態・薬物治療・がん<br><br>がん性疼痛の病態及び薬物治療に関する記述のうち、正しいのはどれか。つ選べ。<br><br>1. 速放性製剤のレスキュー投与は、突出痛に対して用いられる。<br>2. WHO方式がん疼痛治療法では、痛むときに素早く鎮痛薬を投与することを基本とする。<br>3. 骨転移による限局的な鋭い痛みのほとんどは、神経障害性疼痛に分類される。<br>4. 軽度の痛みであっても、アセトアミノフェンは用いない。<br>5. 口腔粘膜吸収フェンタニル製剤は、過量投与による呼吸抑制を起こさない。 □ 22□	<b>正答：1</b><br>速放性製剤のレスキュー投与は、突出痛に対して用いられる。<br><br>テーマ：がん（10年13問・9/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::がん 第102回
【第102回 問64】病態・薬物治療・感染症<br><br>単純ヘルペスウイルス感染症に関する記述のうち、正しいのはどれか。つ選べ。<br><br>1. 性器感染の多くは、HSV-1による。<br>2. 免疫機能亢進時に発症する。<br>3. 性器ヘルペスは、性交の翌日に好発する。<br>4. 成人の口唇ヘルペスの多くは、ウイルスの再活性化により発症する。<br>5. 確定診断は、細胞診により行う。	<b>正答：4</b><br>成人の口唇ヘルペスの多くは、ウイルスの再活性化により発症する。<br><br>テーマ：感染症（10年12問・8/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::感染症 第102回
【第102回 問65】病態・薬物治療・感染症<br><br>ウイルス性肝炎に関する記述のうち、最も適切なのはどれか。1つ選べ。<br><br>1. Ａ型は多くが慢性化しやすい。<br>2. Ｂ型は経口感染である。<br>3. Ｃ型は血液感染である。<br>4. Ｂ型は RNA ウイルスが原因である。<br>5. Ｃ型は DNA ウイルスが原因である。	<b>正答：3</b><br>Ｃ型は血液感染である。<br><br>テーマ：感染症（10年12問・8/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::感染症 第102回
【第102回 問66】病態・薬物治療・がん<br><br>後発医薬品の承認申請資料として必要なのはどれか。1つ選べ。<br><br>1. 加速試験に関する資料<br>2. 効力を裏付ける試験に関する資料<br>3. 副次的薬理・安全性薬理に関する資料<br>4. 反復投与毒性に関する資料<br>5. がん原性に関する資料 □ 23□	<b>正答：1</b><br>加速試験に関する資料<br><br>テーマ：がん（10年13問・9/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::がん 第102回
【第102回 問67】病態・薬物治療・医薬品情報・EBM<br><br>□患者向医薬品ガイド」に関する記述のうち、正しいのはどれか。1つ選べ。<br><br>1. 厚生労働省が作成している。<br>2. 処方箋医薬品では、すべての品目で作成される。<br>3. 一般用医薬品についても作成されている。<br>4. PM DA の医薬品医療機器情報提供ホームページに掲載されている。<br>5. 別名「くすりのしおり」ともよばれる。	<b>正答：4</b><br>PM DA の医薬品医療機器情報提供ホームページに掲載されている。<br><br>テーマ：医薬品情報・EBM（10年11問・7/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::医薬品情報_EBM 第102回
【第102回 問68】病態・薬物治療・臨床統計・研究デザイン<br><br>t 分布に関する記述のうち、正しいのはどれか。1つ選べ。<br><br>1. 平□値に対して左右非対称の分布である。<br>2. 平□値は１である。<br>3. ガウス分布ともよばれる。<br>4. 母集団の標準偏差が未知のときの統計解析に使用される。<br>5. 順序尺度データの統計解析に使用される。	<b>正答：4</b><br>母集団の標準偏差が未知のときの統計解析に使用される。<br><br>テーマ：臨床統計・研究デザイン（10年8問・7/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::臨床統計_研究デザイン 第102回
【第102回 問69】病態・薬物治療・循環器疾患<br><br>ある病院で新たに降圧薬Ａを採用することになった。そこで薬剤師Ｘは当該病院において、高血圧患者にＡを投与した場合と投与しない場合との間で、消化器症状の発現率に差があるかを観察・調査する研究を計画した。なお、高血圧患者にＡ を投与するか否かは、それぞれの主治医による薬物治療上の判断に基づき、薬剤師 Ｘは介入しないものとした。この研究に該当するのはどれか。1つ選べ。<br><br>1. randomized controlled trial<br>2. prospective cohort study<br>3. retrospective cohort study<br>4. case-control study<br>5. meta-analysis □ 24□	<b>正答：2</b><br>prospective cohort study<br><br>テーマ：循環器疾患（10年14問・6/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::循環器疾患 第102回
【第102回 問70】病態・薬物治療・産婦人科・小児・皮膚眼科ほか<br><br>新生児の特徴を成人と比□したとき、正しいのはどれか。1つ選べ。<br><br>1. 胆汁酸塩の生成が多い。<br>2. 肝臓のグルクロン酸抱合能が高い。<br>3. 薬物の皮膚透過性が低い。<br>4. 成人とは異なるシトクロム P450分子種が発現している。<br>5. 胃内 pH が低い。 □ 25□	<b>正答：4</b><br>成人とは異なるシトクロム P450分子種が発現している。<br><br>テーマ：産婦人科・小児・皮膚眼科ほか（10年6問・6/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::産婦人科_小児_皮膚眼科ほか 第102回
【第102回 問71】法規・制度・倫理・法体系・憲法<br><br>日本国憲法第25条において保障されている権利として、最も適切なのはどれか。1つ選べ。日本国憲法第25条 １ すべて国民は、健康で文化的な最低限度の生活を営む権利を有する。 ２ 国は、すべての生活部面について、社会福祉、社会保障及び公衆衛生の向上及び増進に努めなければならない。<br><br>1. 財産権<br>2. 参政権<br>3. 自己決定権<br>4. 人格権<br>5. 生存権	<b>正答：5</b><br>生存権<br><br>テーマ：法体系・憲法（10年5問・5/10回）	薬剤師国家試験 必須問題 科目::法規_制度_倫理 テーマ::法体系_憲法 第102回
【第102回 問72】法規・制度・倫理・薬剤師法<br><br>希少疾病用医薬品について、正しいのはどれか。1つ選べ。<br><br>1. 治験の届出が免除される。<br>2. 期限付の製造販売承認となる。<br>3. 試験研究は中止することができない。<br>4. 指定が取り消されることがある。<br>5. 再審査期間は４年である。	<b>正答：4</b><br>指定が取り消されることがある。<br><br>テーマ：薬剤師法（10年13問・8/10回）	薬剤師国家試験 必須問題 科目::法規_制度_倫理 テーマ::薬剤師法 第102回
【第102回 問73】法規・制度・倫理・薬剤師法　⚠️否定形<br><br>厚生労働大臣が、薬剤師の免許の取消し等の処分をするにあたって、あらかじめ意見を聴かなければならないのはどれか。1つ選べ。<br><br>1. 医道審議会<br>2. 都道府県知事<br>3. 内閣府<br>4. 薬事・食品衛生審議会<br>5. 裁判所 □ 26□	<b>正答：1</b><br>医道審議会<br><br>テーマ：薬剤師法（10年13問・8/10回）	薬剤師国家試験 必須問題 科目::法規_制度_倫理 テーマ::薬剤師法 第102回 flag::否定形
【第102回 問74】法規・制度・倫理・医療法・医療提供体制<br><br>医療を受ける者に対する医療の担い手の責務として、医療法に規定されているのはどれか。1つ選べ。<br><br>1. 福祉サービスの提供<br>2. 医療技術の普及<br>3. 医療計画の策定<br>4. 効率的な説明<br>5. 良質かつ適切な医療の提供	<b>正答：5</b><br>良質かつ適切な医療の提供<br><br>テーマ：医療法・医療提供体制（10年7問・7/10回）	薬剤師国家試験 必須問題 科目::法規_制度_倫理 テーマ::医療法_医療提供体制 第102回
【第102回 問75】法規・制度・倫理・薬剤師法<br><br>薬局で向精神薬を取扱う場合、法令に基づいて届出が必要とされているのはどれか。1つ選べ。なお、薬局は、向精神薬営業者に関して別段の申し出はしていないものとする。<br><br>1. 処方箋に基づく譲渡<br>2. 他の薬局への譲渡<br>3. 向精神薬卸売業者からの譲受<br>4. 廃棄<br>5. 一定量以上の滅失、盗取等の事故	<b>正答：5</b><br>一定量以上の滅失、盗取等の事故<br><br>テーマ：薬剤師法（10年13問・8/10回）	薬剤師国家試験 必須問題 科目::法規_制度_倫理 テーマ::薬剤師法 第102回
【第102回 問76】法規・制度・倫理・医療保険・介護保険　⚠️否定形<br><br>医薬品副作用被害救済制度における副作用救済給付の対象として、誤っているのはどれか。1つ選べ。<br><br>1. 医療費<br>2. 医療手当<br>3. 障害年金<br>4. 休業保障<br>5. 葬祭料	<b>正答：4</b><br>休業保障<br><br>テーマ：医療保険・介護保険（10年14問・8/10回）	薬剤師国家試験 必須問題 科目::法規_制度_倫理 テーマ::医療保険_介護保険 第102回 flag::否定形
【第102回 問77】法規・制度・倫理・薬学史・薬害<br><br>ソリブジン事件に関する記述のうち、正しいのはどれか。1つ選べ。<br><br>1. 市販直後に副作用である間質性肺炎を多数発症した。<br>2. 長期大量投与により亜急性脊髄視神経症を発症した。<br>3. アナフィラキシーショックにより死亡例が発生した。<br>4. 他の医薬品との相互作用により死亡例が発生した。<br>5. 慢性疾患への投与により網膜症を発症した。 □ 27□	<b>正答：4</b><br>他の医薬品との相互作用により死亡例が発生した。<br><br>テーマ：薬学史・薬害（10年6問・5/10回）	薬剤師国家試験 必須問題 科目::法規_制度_倫理 テーマ::薬学史_薬害 第102回
